samples	disease	genotype
CM	20000000	WT
CM	26500000	WT
CM	22300000	WT
CM	10300000	WT
CM	10000000	WT
CM	18000000	WT
CM	22600000	WT
CM	23700000	WT
CA	150000	WT
CA	193000	WT
CA	160000	WT
CA	7000	WT
CA	62000	WT
CA	119000	WT
CA	76000	WT
CA	158000	WT
4OEM	19700000	OE
4OEM	123000	OE
4OEM	22000000	OE
4OEM	121000	OE
4OEM	13200000	OE
4OEM	18000000	OE
4OEM	19100000	OE
4OEM	9000000	OE
4OEA	11900000	OE
4OEA	21200000	OE
4OEA	8300000	OE
4OEA	530000	OE
4OEA	6400000	OE
4OEA	5800000	OE
4OEA	43300000	OE
4OEA	1520000	OE
4M	8000000	KO
4M	10000000	KO
4M	1180000	KO
4M	6200000	KO
4M	20000000	KO
4M	10900000	KO
4M	9000000	KO
4M	7000000	KO
4A	10000	KO
4A	1000	KO
4A	6000	KO
4A	6000	KO
4A	21000	KO
4A	16000	KO
4A	11000	KO
4A	14000	KO
